Depth,Height,Width,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price
5.05,4.35,2.94,60,0.55,40.0,1,40.0,40.0,30,10,1378.65
4.6,4.31,2.92,60,0.5,90.0,2,40.0,40.0,30,20,1379.74
4.71,4.35,2.94,60,0.51,60.0,3,40.0,40.0,30,10,1380.19
4.91,4.26,2.88,60,0.5,60.0,3,40.0,40.0,30,10,1380.61
4.7,4.46,3.01,60,0.53,50.0,4,40.0,30.0,30,10,1383.13
4.76,4.42,2.99,60,0.52,90.0,5,40.0,40.0,30,10,1384.24
5.16,4.21,2.85,60,0.51,60.0,5,40.0,40.0,30,20,1385.26
4.91,4.17,2.9,60,0.5,50.0,1,30.0,40.0,30,10,1385.91
4.48,4.38,3.04,60,0.5,80.0,5,40.0,40.0,30,10,1385.94
4.55,4.5,3.02,60,0.51,50.0,5,40.0,40.0,40,10,1387.05
4.89,4.24,2.84,60,0.5,50.0,4,40.0,40.0,20,10,1389.25
5.05,4.21,2.83,60,0.5,70.0,5,40.0,40.0,30,10,1390.19
4.69,4.5,3.04,60,0.55,90.0,5,40.0,40.0,30,10,1391.02
4.78,4.52,3.04,60,0.55,70.0,3,40.0,40.0,40,60,1392.9
6.09,5.11,3.47,60,0.91,50.0,6,40.0,40.0,40,20,1393.76
4.64,4.48,3.03,60,0.52,70.0,3,40.0,40.0,30,40,1319.56
4.63,4.33,2.92,60,0.5,90.0,5,40.0,40.0,30,10,1320.14
5.73,4.71,3.2,60,0.71,70.0,7,40.0,40.0,30,10,1320.7
6.01,5.64,3.83,60,1.12,10.0,2,40.0,30.0,30,20,1323.08
4.53,4.43,3.0,60,0.51,80.0,5,40.0,40.0,30,10,1324.64
6.51,5.31,3.27,60,1.0,30.0,8,40.0,30.0,20,20,1325.01
4.69,4.47,3.03,60,0.52,90.0,5,40.0,40.0,30,10,1326.87
5.21,4.87,3.21,60,0.72,60.0,2,40.0,40.0,40,20,1328.48
5.23,5.2,3.53,60,0.82,70.0,6,40.0,40.0,40,40,1329.81
5.09,4.87,3.29,60,0.72,100.0,9,40.0,40.0,20,10,1330.5
5.13,4.12,2.78,60,0.5,40.0,3,40.0,40.0,30,10,1330.91
4.67,4.28,2.9,60,0.5,40.0,1,40.0,40.0,30,10,1331.01
5.47,4.97,3.38,60,0.8,50.0,10,40.0,40.0,30,40,1332.09
4.62,4.4,2.99,60,0.52,50.0,5,40.0,40.0,30,10,1332.82
4.7,4.45,3.01,60,0.53,70.0,11,40.0,40.0,40,10,1422.74
4.62,4.48,2.97,60,0.51,70.0,2,40.0,30.0,30,20,1424.23
5.19,4.29,2.9,60,0.53,70.0,5,40.0,40.0,30,10,1424.37
5.01,4.28,2.79,60,0.5,60.0,1,40.0,40.0,30,40,1429.01
4.57,4.47,3.03,60,0.52,90.0,5,40.0,40.0,30,10,1430.13
4.76,4.2,2.94,60,0.5,60.0,12,30.0,40.0,40,60,1436.5
5.7,4.78,3.23,60,0.75,70.0,13,40.0,40.0,30,20,1437.68
4.96,4.21,2.87,60,0.5,60.0,3,30.0,40.0,30,10,1439.96
5.87,5.18,3.61,60,0.94,50.0,6,30.0,40.0,30,20,1441.31
5.28,4.81,3.26,60,0.7,50.0,5,40.0,40.0,30,10,1444.75
5.34,4.27,2.86,60,0.55,60.0,3,40.0,40.0,30,10,1445.15
4.49,4.46,3.01,60,0.5,60.0,14,40.0,40.0,30,20,1447.35
4.77,4.32,2.85,60,0.5,60.0,14,30.0,40.0,20,10,1450.02
4.69,4.34,2.92,60,0.5,70.0,5,40.0,40.0,30,10,1450.05
5.55,4.67,3.17,60,0.72,30.0,2,40.0,30.0,20,40,1054.14
4.95,4.0,2.68,60,0.44,50.0,4,40.0,30.0,20,40,1059.29
4.78,3.89,2.64,60,0.4,60.0,5,40.0,40.0,30,10,1065.38
4.63,4.57,3.1,60,0.55,60.0,15,40.0,40.0,40,10,1067.66
4.66,3.98,2.64,60,0.41,50.0,12,40.0,40.0,30,10,1071.87
3.95,3.78,2.53,60,0.31,90.0,1,40.0,40.0,30,10,1072.54
4.74,4.48,3.04,60,0.55,90.0,7,40.0,40.0,30,10,1075.21
5.23,4.75,3.22,60,0.7,60.0,10,40.0,40.0,30,40,1078.14
4.25,4.06,2.74,60,0.4,70.0,5,40.0,40.0,30,10,1078.32
4.66,4.6,3.11,60,0.61,90.0,9,40.0,40.0,30,10,1087.25
5.59,4.85,3.27,60,0.75,50.0,7,40.0,40.0,30,10,1087.54
4.7,4.41,2.97,60,0.52,50.0,7,40.0,30.0,30,20,1094.65
4.97,4.53,3.06,60,0.59,40.0,12,40.0,40.0,30,10,1094.8
4.31,4.29,2.91,60,0.5,60.0,2,40.0,40.0,20,10,1103.97
6.51,5.28,3.58,60,1.02,50.0,2,40.0,40.0,40,20,1105.68
4.98,4.25,2.85,60,0.51,70.0,11,40.0,40.0,30,10,1199.41
5.29,4.94,3.45,60,0.75,80.0,13,30.0,40.0,20,60,1205.7
4.47,4.33,2.94,60,0.52,90.0,2,40.0,40.0,30,40,1207.12
4.77,4.43,2.99,60,0.52,50.0,5,40.0,40.0,30,20,1211.61
5.0,4.64,3.15,60,0.65,80.0,16,40.0,40.0,40,40,1212.41
4.59,4.45,3.01,60,0.53,80.0,11,40.0,40.0,30,10,1213.74
4.83,4.56,3.08,60,0.57,50.0,2,40.0,40.0,20,40,1214.05
4.44,4.43,3.01,60,0.5,70.0,5,40.0,40.0,30,40,1214.62
4.55,4.4,2.98,60,0.5,80.0,11,40.0,40.0,30,40,1215.54
4.93,4.16,2.79,60,0.47,50.0,12,40.0,40.0,20,10,1217.29
5.13,4.13,2.8,60,0.5,50.0,1,40.0,30.0,20,10,1226.85
5.8,4.64,3.15,60,0.71,60.0,10,40.0,40.0,40,10,1230.89
4.44,4.42,2.98,60,0.5,60.0,5,40.0,40.0,30,20,1231.96
5.62,5.27,3.56,60,0.9,50.0,6,40.0,40.0,40,60,1237.55
4.44,4.41,2.95,60,0.5,50.0,2,40.0,40.0,30,20,1241.42
4.7,4.37,2.97,60,0.51,50.0,11,40.0,40.0,30,10,1286.16
4.72,4.43,3.0,60,0.56,40.0,2,40.0,20.0,20,20,1286.93
4.6,4.49,3.03,60,0.52,90.0,5,40.0,40.0,30,20,1292.65
4.24,4.16,2.68,60,0.42,90.0,2,40.0,40.0,20,40,1293.39
5.91,5.05,3.52,60,0.9,40.0,6,30.0,40.0,30,20,1295.14
4.66,4.62,3.13,60,0.6,90.0,2,40.0,40.0,30,40,1298.13
4.57,4.45,2.98,60,0.51,50.0,3,40.0,40.0,40,60,1299.02
4.89,4.25,2.85,60,0.5,70.0,3,30.0,40.0,30,10,1301.12
5.31,4.83,3.27,60,0.7,50.0,13,40.0,40.0,30,10,1303.27
4.57,4.35,2.88,60,0.5,50.0,2,40.0,30.0,20,20,1303.67
6.12,4.9,3.34,60,0.85,60.0,6,40.0,40.0,40,60,1311.39
4.93,4.26,2.85,60,0.5,50.0,5,40.0,40.0,30,20,1313.99
5.04,4.82,3.37,60,0.71,80.0,13,30.0,40.0,30,10,1315.61
