Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1799924,EMERALD,0.3,SI1,J,VG,EX,GD,F,4.32-3.27×2.25,588.97,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-351/
1800669,EMERALD,0.3,VS1,L,EX,EX,VG,N,4.40-3.33×2.25,616.85,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-357/
1799925,EMERALD,0.35,SI1,M,EX,GD,GD,N,4.71-3.56×2.37,622.53,https://capitalwholesalediamonds.com/product/0-35-ct-emerald-28/
1800690,EMERALD,0.3,SI1,K,EX,EX,VG,F,4.75-3.28×2.01,628.53,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-356/
1800668,EMERALD,0.3,VS1,K,VG,VG,GD,N,4.60-3.25×2.13,642.22,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-352/
1787850,EMERALD,0.3,VS2,K,VG,EX,VG,N,4.46-3.35×2.24,645.28,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-354/
1791763,EMERALD,0.3,VS2,K,EX,VG,GD,F,4.49-3.34×2.12,649.84,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-355/
1800689,EMERALD,0.33,SI1,K,EX,GD,FR,N,4.59-3.43×2.37,653.12,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-69/
1799909,EMERALD,0.32,VS2,J,EX,GD,GD,M,4.52-3.23×2.30,656.53,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-99/
1799872,EMERALD,0.3,VS1,K,VG,VG,VG,F,4.44-3.12×2.16,660.47,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-353/
1794396,EMERALD,0.32,VVS2,M,EX,VG,GD,N,4.50-3.27×2.21,662.50,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-100/
1787851,EMERALD,0.33,VS2,L,EX,EX,VG,N,4.95-3.31×2.17,672.62,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-70/
1798600,EMERALD,0.31,VVS2,K,EX,EX,GD,N,4.52-3.33×2.23,677.49,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-159/
1799910,EMERALD,0.31,VS2,K,EX,VG,GD,N,5.04-3.37×1.92,684.84,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-160/
1791762,EMERALD,0.33,VS2,K,EX,EX,VG,N,4.66-3.39×2.27,700.00,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-68/
1789865,EMERALD,0.3,VVS2,J,VG,VG,VG,F,4.47-3.24×2.20,723.84,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-350/
1791050,EMERALD,0.35,VS1,K,EX,VG,VG,N,4.72-3.34×2.26,727.26,https://capitalwholesalediamonds.com/product/0-35-ct-emerald-27/
1789881,EMERALD,0.3,VS2,I,VG,EX,GD,N,4.40-3.09×2.27,736.01,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-345/
1789882,EMERALD,0.3,VS2,I,VG,EX,GD,N,4.41-3.36×2.27,736.01,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-346/
1798529,EMERALD,0.4,VVS2,M,EX,VG,GD,N,4.91-3.60×2.45,736.16,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-361/
1795796,EMERALD,0.3,VS2,I,VG,VG,VG,M,4.24-3.23×2.29,738.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-349/
1791007,EMERALD,0.5,VS2,N,VG,EX,VG,ST,5.47-3.71×2.56,744.45,https://capitalwholesalediamonds.com/product/0-5-ct-emerald-1206/
1791033,EMERALD,0.33,IF,K,EX,EX,GD,N,4.56-3.38×2.29,749.58,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-67/
1785119,EMERALD,0.31,VS2,I,VG,EX,GD,F,4.56-3.33×2.16,755.06,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-158/
1797255,EMERALD,0.34,VVS2,K,EX,EX,VG,N,4.63-3.31×2.26,755.16,https://capitalwholesalediamonds.com/product/0-34-ct-emerald-38/
1793136,EMERALD,0.31,SI2,G,EX,VG,VG,F,4.77-3.26×2.02,761.35,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-141/
1791761,EMERALD,0.31,VS2,I,EX,EX,VG,M,4.49-3.30×2.23,761.35,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-157/
1795799,EMERALD,0.3,SI2,G,VG,EX,GD,N,4.49-3.40×2.10,761.87,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-318/
1779823,EMERALD,0.31,SI2,E,EX,EX,GD,N,5.04-3.08×2.02,765.54,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-80/
1778532,EMERALD,0.3,VS1,I,VG,EX,GD,N,4.44-3.26×2.26,767.46,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-340/
1771247,EMERALD,0.3,SI1,F,VG,EX,FR,F,4.52-3.41×2.11,776.59,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-263/
1745105,EMERALD,0.36,VVS2,I,EX,GD,FR,N,4.69-3.70×2.32,777.33,https://capitalwholesalediamonds.com/product/0-36-ct-emerald-14/
1785126,EMERALD,0.3,SI1,H,VG,EX,VG,N,4.38-3.31×2.22,787.78,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-335/
1778539,EMERALD,0.3,SI1,E,VG,GD,GD,N,4.81-3.09×2.08,864.79,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-152/
1769561,EMERALD,0.3,SI1,D,VG,EX,VG,F,4.76-3.30×1.95,864.79,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-530/
1322822,EMERALD,0.29,VS2,E,EX,EX,VG,N,4.80-3.05×2.05,864.91,https://capitalwholesalediamonds.com/product/0-29-ct-emerald-4/
1800597,EMERALD,0.5,VVS1,N,VG,VG,GD,F,5.39-3.68×2.55,865.28,https://capitalwholesalediamonds.com/product/0-5-ct-emerald-1205/
1793100,EMERALD,0.41,VS2,K,VG,VG,VG,N,5.31-3.52×2.13,865.36,https://capitalwholesalediamonds.com/product/0-41-ct-emerald-148/
1794408,EMERALD,0.31,VS1,I,EX,EX,GD,N,4.52-3.25×2.22,865.62,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-156/
1795773,EMERALD,0.34,VVS2,I,EX,EX,GD,F,5.01-3.27×2.08,866.68,https://capitalwholesalediamonds.com/product/0-34-ct-emerald-37/
1767883,EMERALD,0.3,SI1,E,VG,EX,VG,F,4.36-3.21×2.15,821.71,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-153/
1799824,EMERALD,0.3,VVS2,I,EX,EX,VG,N,4.78-3.11×2.04,867.38,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-337/
1774231,EMERALD,0.3,VVS2,I,EX,EX,VG,N,4.50-3.29×2.16,822.73,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-338/
1783741,EMERALD,0.4,VS1,K,EX,EX,GD,N,5.03-3.58×2.34,868.03,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-358/
1669519,EMERALD,0.58,SI2,M,VG,GD,VG,F,5.42-4.08×2.75,824.15,https://capitalwholesalediamonds.com/product/0-58-ct-emerald-7/
1785121,EMERALD,0.3,SI1,D,EX,VG,VG,M,4.69-3.29×2.03,868.32,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-531/
1531980,EMERALD,0.52,VVS2,N,EX,EX,EX,N,5.78-3.72×2.44,825.06,https://capitalwholesalediamonds.com/product/0-52-ct-emerald-63/
1785122,EMERALD,0.3,SI1,D,VG,VG,GD,F,4.71-3.05×2.06,868.32,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-533/
