Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1793297,OVAL,0.3,VS2,N,EX,EX,VG,F,5.51-3.90×2.30,572.23,https://capitalwholesalediamonds.com/product/0-3-ct-oval-142/
1783963,OVAL,0.3,VS1,L,GD,VG,GD,N,5.00-3.71×2.36,583.39,https://capitalwholesalediamonds.com/product/0-3-ct-oval-94/
1793299,OVAL,0.3,SI1,M,EX,EX,GD,F,5.69-3.59×2.25,583.91,https://capitalwholesalediamonds.com/product/0-3-ct-oval-96/
1721286,OVAL,0.31,VS2,K,EX,EX,VG,F,5.82-3.66×2.24,594.22,https://capitalwholesalediamonds.com/product/0-31-ct-oval-36/
1789990,OVAL,0.3,VS2,M,EX,EX,VG,F,5.89-3.70×2.19,606.71,https://capitalwholesalediamonds.com/product/0-3-ct-oval-95/
1772657,OVAL,0.3,SI2,J,EX,VG,GD,N,5.29-3.48×2.33,617.86,https://capitalwholesalediamonds.com/product/0-3-ct-oval-93/
1788113,OVAL,0.31,SI1,K,VG,EX,VG,N,5.75-3.93×2.27,628.24,https://capitalwholesalediamonds.com/product/0-31-ct-oval-37/
1775486,OVAL,0.31,VS1,L,EX,EX,VG,N,5.96-3.73×2.18,629.83,https://capitalwholesalediamonds.com/product/0-31-ct-oval-38/
1786657,OVAL,0.36,SI1,K,EX,VG,VG,N,5.99-3.94×2.32,637.33,https://capitalwholesalediamonds.com/product/0-36-ct-oval-8/
1785470,OVAL,0.31,SI1,J,VG,VG,GD,N,5.88-3.65×2.26,641.90,https://capitalwholesalediamonds.com/product/0-31-ct-oval-35/
1785467,OVAL,0.36,VS2,M,EX,EX,VG,M,6.07-3.90×2.40,647.07,https://capitalwholesalediamonds.com/product/0-36-ct-oval-10/
1791222,OVAL,0.36,SI1,K,EX,GD,GD,N,5.74-4.08×2.29,651.93,https://capitalwholesalediamonds.com/product/0-36-ct-oval-9/
1791841,OVAL,0.4,SI1,M,VG,VG,GD,F,5.78-4.13×2.52,676.00,https://capitalwholesalediamonds.com/product/0-4-ct-oval-101/
1755008,OVAL,0.3,SI1,FANCY,EX,VG,GD,M,5.35-3.52×2.23,701.52,https://capitalwholesalediamonds.com/product/0-3-ct-oval-3/
1785453,OVAL,0.32,IF,L,EX,EX,VG,N,5.66-3.78×2.37,701.96,https://capitalwholesalediamonds.com/product/0-32-ct-oval-26/
1660477,OVAL,0.5,SI2,M,EX,EX,GD,ST,6.33-4.59×2.73,714.13,https://capitalwholesalediamonds.com/product/0-5-ct-oval-440/
1743156,OVAL,0.31,SI2,F,EX,GD,GD,N,5.92-3.76×2.22,725.74,https://capitalwholesalediamonds.com/product/0-31-ct-oval-22/
1574449,OVAL,0.18,VVS1,D,EX,EX,GD,N,4.80-3.08×1.92,727.05,https://capitalwholesalediamonds.com/product/0-18-ct-oval/
1778721,OVAL,0.31,SI2,G,EX,EX,GD,N,5.71-3.76×2.29,735.64,https://capitalwholesalediamonds.com/product/0-31-ct-oval-29/
1783952,OVAL,0.4,SI1,L,EX,VG,VG,M,6.23-4.03×2.48,736.20,https://capitalwholesalediamonds.com/product/0-4-ct-oval-100/
1738269,OVAL,0.35,VS1,I,EX,VG,VG,N,6.04-3.78×2.36,737.85,https://capitalwholesalediamonds.com/product/0-35-ct-oval-20/
1733139,OVAL,0.51,I1,J,EX,VG,GD,F,6.88-4.37×2.56,740.56,https://capitalwholesalediamonds.com/product/0-51-ct-oval-158/
1789984,OVAL,0.4,VS2,L,EX,EX,GD,F,6.21-4.09×2.53,740.90,https://capitalwholesalediamonds.com/product/0-4-ct-oval-99/
1800878,OVAL,0.3,SI2,E,EX,VG,GD,F,5.00-3.74×2.40,742.10,https://capitalwholesalediamonds.com/product/0-3-ct-oval-46/
1779957,OVAL,0.3,SI1,H,VG,GD,FR,N,5.27-3.79×2.27,745.66,https://capitalwholesalediamonds.com/product/0-3-ct-oval-87/
1755748,OVAL,0.4,SI1,K,EX,VG,VG,F,6.18-4.15×2.47,764.56,https://capitalwholesalediamonds.com/product/0-4-ct-oval-95/
1652951,OVAL,0.5,VS2,L,EX,GD,GD,F,6.58-4.44×2.67,765.12,https://capitalwholesalediamonds.com/product/0-5-ct-oval-425/
1625323,OVAL,0.5,I1,L,EX,EX,VG,M,6.69-4.35×2.69,765.12,https://capitalwholesalediamonds.com/product/0-5-ct-oval-434/
1789186,OVAL,0.4,SI1,K,VG,VG,GD,N,6.31-4.04×2.36,766.58,https://capitalwholesalediamonds.com/product/0-4-ct-oval-97/
1664660,OVAL,0.5,VS2,M,VG,EX,GD,ST,6.56-4.44×2.64,770.27,https://capitalwholesalediamonds.com/product/0-5-ct-oval-436/
1775464,OVAL,0.4,VS1,L,EX,EX,VG,N,5.97-4.05×2.51,772.67,https://capitalwholesalediamonds.com/product/0-4-ct-oval-98/
1626474,OVAL,0.5,SI1,M,EX,EX,VG,N,6.11-4.47×2.81,776.32,https://capitalwholesalediamonds.com/product/0-5-ct-oval-438/
1589667,OVAL,0.5,SI2,L,VG,EX,VG,N,6.29-4.31×2.74,778.97,https://capitalwholesalediamonds.com/product/0-5-ct-oval-430/
1789987,OVAL,0.3,VS1,I,VG,GD,GD,N,5.58-3.65×2.15,788.23,https://capitalwholesalediamonds.com/product/0-3-ct-oval-90/
1796043,OVAL,0.4,SI1,K,EX,VG,GD,N,6.47-4.13×2.39,788.89,https://capitalwholesalediamonds.com/product/0-4-ct-oval-96/
1790103,OVAL,0.35,VS1,FANCY,GD,VG,GD,M,5.19-3.94×2.28,792.86,https://capitalwholesalediamonds.com/product/0-35-ct-oval/
1765124,OVAL,0.31,SI2,F,EX,GD,FR,N,5.77-3.75×2.23,796.43,https://capitalwholesalediamonds.com/product/0-31-ct-oval-21/
1791207,OVAL,0.43,VS1,L,EX,GD,GD,N,6.11-4.35×2.57,798.73,https://capitalwholesalediamonds.com/product/0-43-ct-oval-7/
1783969,OVAL,0.3,SI2,D,VG,EX,GD,M,5.12-3.85×2.42,798.86,https://capitalwholesalediamonds.com/product/0-3-ct-oval-138/
1778709,OVAL,0.4,VS2,K,EX,EX,VG,F,5.69-4.24×2.62,803.80,https://capitalwholesalediamonds.com/product/0-4-ct-oval-94/
1643687,OVAL,0.5,SI1,M,EX,EX,VG,ST,6.36-4.47×2.79,804.85,https://capitalwholesalediamonds.com/product/0-5-ct-oval-437/
1791855,OVAL,0.3,SI2,D,EX,GD,FR,N,5.63-3.59×2.23,806.01,https://capitalwholesalediamonds.com/product/0-3-ct-oval-139/
1783012,OVAL,0.3,VVS2,I,EX,EX,GD,F,5.12-3.82×2.38,818.67,https://capitalwholesalediamonds.com/product/0-3-ct-oval-88/
1768050,OVAL,0.4,SI2,I,VG,EX,VG,F,5.61-4.16×2.65,822.69,https://capitalwholesalediamonds.com/product/0-4-ct-oval-89/
1800875,OVAL,0.3,SI1,F,VG,EX,GD,F,5.31-3.69×2.35,822.74,https://capitalwholesalediamonds.com/product/0-3-ct-oval-65/
1756607,OVAL,0.3,VS1,I,EX,EX,VG,N,5.29-3.78×2.32,828.83,https://capitalwholesalediamonds.com/product/0-3-ct-oval-91/
1791221,OVAL,0.31,SI1,F,EX,VG,VG,N,5.45-4.00×2.30,828.93,https://capitalwholesalediamonds.com/product/0-31-ct-oval-20/
1779956,OVAL,0.35,VS2,H,VG,VG,GD,ST,5.50-4.06×2.39,831.31,https://capitalwholesalediamonds.com/product/0-35-ct-oval-17/
1696972,OVAL,0.53,I1,J,EX,VG,GD,N,6.27-4.66×2.81,832.51,https://capitalwholesalediamonds.com/product/0-53-ct-oval-61/
1767050,OVAL,0.41,VS2,K,EX,EX,VG,N,6.38-4.06×2.46,834.18,https://capitalwholesalediamonds.com/product/0-41-ct-oval-26/
1773569,OVAL,0.35,VS2,I,EX,EX,VG,N,6.05-3.84×2.39,835.50,https://capitalwholesalediamonds.com/product/0-35-ct-oval-21/
1618154,OVAL,0.52,VS1,U-V,EX,EX,VG,N,6.40-4.55×2.69,835.80,https://capitalwholesalediamonds.com/product/0-52-ct-oval-4/
1798769,OVAL,0.3,VS1,I,EX,VG,GD,N,5.76-3.74×2.19,835.89,https://capitalwholesalediamonds.com/product/0-3-ct-oval-89/
1730792,OVAL,0.46,VS2,K,VG,EX,GD,F,5.92-4.31×2.71,840.22,https://capitalwholesalediamonds.com/product/0-46-ct-oval-14/
1769792,OVAL,0.3,VS1,I,EX,EX,VG,N,5.23-3.85×2.37,842.01,https://capitalwholesalediamonds.com/product/0-3-ct-oval-92/
Eco Diamond 445027349,OVAL,0.58,SI2,E,EX,EX,EX,N,6.89 – 4.86 x 2.82 mm,842.40,https://capitalwholesalediamonds.com/product/0-58-ct-oval-3/
1761841,OVAL,0.36,VS2,I,EX,EX,VG,N,6.26-3.99×2.35,842.99,https://capitalwholesalediamonds.com/product/0-36-ct-oval-7/
