Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
Eco Diamond 57237321,RADIANT,0.3,SI2,D,EX,EX,EX,N,4.31 – 4.33 x 2.62 mm,512.46,https://capitalwholesalediamonds.com/product/0-3-ct-radiant/
Eco Diamond 442072111,RADIANT,0.4,SI1,D,EX,EX,EX,N,4.74 – 4.76 x 2.93 mm,642.33,https://capitalwholesalediamonds.com/product/0-4-ct-radiant/
Eco Diamond 57237322,RADIANT,0.42,VS1,E,EX,EX,EX,N,4.84 – 4.86 x 2.95 mm,735.35,https://capitalwholesalediamonds.com/product/0-42-ct-radiant-2/
Eco Diamond 440014538,RADIANT,0.42,VS1,D,EX,EX,EX,N,4.76 – 4.78 x 2.99 mm,749.39,https://capitalwholesalediamonds.com/product/0-42-ct-radiant/
Eco Diamond 442072113,RADIANT,0.43,VS1,D,EX,EX,EX,N,4.92 – 4.93 x 3.00 mm,758.16,https://capitalwholesalediamonds.com/product/0-43-ct-radiant/
Eco Diamond 436056245,RADIANT,0.5,SI1,E,EX,EX,EX,N,5.07 – 5.11 x 3.13 mm,856.44,https://capitalwholesalediamonds.com/product/0-5-ct-radiant/
Eco Diamond 445044984,RADIANT,0.56,VS2,F,EX,EX,EX,N,5.19 – 5.22 x 3.28 mm,"1,005.62",https://capitalwholesalediamonds.com/product/0-56-ct-radiant/
Eco Diamond 442029672,RADIANT,0.52,VS2,D,EX,EX,EX,N,5.12 – 5.14 x 3.16 mm,"1,024.92",https://capitalwholesalediamonds.com/product/0-52-ct-radiant/
Eco Diamond 442072105,RADIANT,0.52,VS1,D,EX,EX,EX,N,5.14 – 5.16 x 3.19 mm,"1,089.86",https://capitalwholesalediamonds.com/product/0-52-ct-radiant-2/
Eco Diamond 436075098,RADIANT,0.59,VS2,D,EX,EX,EX,N,5.36 – 5.39 x 3.29 mm,"1,114.43",https://capitalwholesalediamonds.com/product/0-59-ct-radiant/
Eco Diamond 436053285,RADIANT,0.71,SI2,D,EX,EX,EX,N,5.66 – 5.69 x 3.53 mm,"1,181.12",https://capitalwholesalediamonds.com/product/0-71-ct-radiant-2/
Eco Diamond 442029666,RADIANT,0.65,VS2,D,EX,EX,EX,N,5.57 – 5.62 x 3.35 mm,"1,193.40",https://capitalwholesalediamonds.com/product/0-65-ct-radiant/
Eco Diamond 442072107,RADIANT,0.6,VS1,D,EX,EX,EX,N,5.46 – 5.49 x 3.29 mm,"1,203.93",https://capitalwholesalediamonds.com/product/0-6-ct-radiant/
Eco Diamond 444075121,RADIANT,0.6,VS1,D,EX,EX,EX,N,5.34 – 5.36 x 3.36 mm,"1,203.93",https://capitalwholesalediamonds.com/product/0-6-ct-radiant-2/
Eco Diamond 442072112,RADIANT,0.66,VS2,D,EX,EX,EX,N,5.60 – 5.65 x 3.42 mm,"1,205.69",https://capitalwholesalediamonds.com/product/0-66-ct-radiant/
Eco Diamond 57237323,RADIANT,0.66,VS2,D,EX,EX,EX,N,5.58 – 5.62 x 3.43 mm,"1,205.69",https://capitalwholesalediamonds.com/product/0-66-ct-radiant-2/
Eco Diamond 57237324,RADIANT,0.66,VS2,D,EX,EX,EX,N,5.52 – 5.55 x 3.46 mm,"1,205.69",https://capitalwholesalediamonds.com/product/0-66-ct-radiant-3/
Eco Diamond 432026878,RADIANT,0.61,VS1,D,EX,EX,EX,N,5.31 – 5.36 x 3.39 mm,"1,217.97",https://capitalwholesalediamonds.com/product/0-61-ct-radiant/
Eco Diamond 436056247,RADIANT,0.7,SI1,F,EX,EX,EX,N,5.71 – 5.76 x 3.42 mm,"1,235.52",https://capitalwholesalediamonds.com/product/0-7-ct-radiant-5/
Eco Diamond 432026875,RADIANT,0.8,SI2,D,EX,EX,EX,N,6.03 – 6.06 x 3.55 mm,"1,286.42",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-2/
Eco Diamond 432026877,RADIANT,0.8,SI2,D,EX,EX,EX,N,5.88 – 5.90 x 3.67 mm,"1,286.42",https://capitalwholesalediamonds.com/product/0-8-ct-radiant-3/
Eco Diamond 57237325,RADIANT,0.76,SI1,E,EX,EX,EX,N,5.89 – 5.91 x 3.54 mm,"1,360.13",https://capitalwholesalediamonds.com/product/0-76-ct-radiant-2/
Eco Diamond 445027355,RADIANT,0.73,SI1,E,EX,EX,EX,N,5.68 – 4.47 x 3.11 mm,"1,365.39",https://capitalwholesalediamonds.com/product/0-73-ct-radiant-3/
Eco Diamond 444074131,RADIANT,0.81,SI1,D,EX,EX,EX,N,5.86 – 5.91 x 3.72 mm,"1,477.71",https://capitalwholesalediamonds.com/product/0-81-ct-radiant-2/
Eco Diamond 432009474,RADIANT,0.7,VS2,D,VG,EX,EX,N,5.51 – 5.56 x 3.58 mm,"1,523.34",https://capitalwholesalediamonds.com/product/0-7-ct-radiant/
Eco Diamond 432009475,RADIANT,0.7,VS2,D,VG,EX,VG,N,5.73 – 5.78 x 3.37 mm,"1,523.34",https://capitalwholesalediamonds.com/product/0-7-ct-radiant-2/
Eco Diamond 432026855,RADIANT,0.9,SI2,E,EX,EX,EX,N,6.28 – 6.31 x 3.66 mm,"1,535.63",https://capitalwholesalediamonds.com/product/0-9-ct-radiant/
Eco Diamond 432026898,RADIANT,0.9,SI2,E,EX,EX,EX,N,6.08 – 6.10 x 3.84 mm,"1,535.63",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-4/
Eco Diamond 444074129,RADIANT,0.87,SI1,D,EX,EX,EX,N,6.03 – 6.07 x 3.81 mm,"1,560.20",https://capitalwholesalediamonds.com/product/0-87-ct-radiant/
Eco Diamond 436073074,RADIANT,0.92,SI2,E,EX,EX,EX,N,6.15 – 6.17 x 3.87 mm,"1,561.95",https://capitalwholesalediamonds.com/product/0-92-ct-radiant/
Eco Diamond 436073079,RADIANT,1.07,I1,E,EX,EX,EX,N,6.54 – 6.59 x 4.03 mm,"1,561.95",https://capitalwholesalediamonds.com/product/1-07-ct-radiant-2/
Eco Diamond 57237336,RADIANT,0.93,SI2,E,EX,EX,EX,N,6.20 – 6.23 x 3.83 mm,"1,575.99",https://capitalwholesalediamonds.com/product/0-93-ct-radiant-2/
Eco Diamond 440020272,RADIANT,0.94,SI2,E,EX,EX,EX,N,6.15 – 6.20 x 3.92 mm,"1,588.28",https://capitalwholesalediamonds.com/product/0-94-ct-radiant/
Eco Diamond LG200401,RADIANT,0.71,VS2,D,VG,VG,VG,N,6.06X4.38X2.89,"1,593.93",https://capitalwholesalediamonds.com/product/0-71-ct-radiant/
Eco Diamond LG200355,RADIANT,0.70,VS1,E,VG,EX,EX,N,5.78X4.35X3.08,"1,602.23",https://capitalwholesalediamonds.com/product/0-70-ct-radiant/
Eco Diamond LG200402,RADIANT,0.73,VS2,E,VG,VG,VG,N,6.08X4.41X2.89,"1,606.53",https://capitalwholesalediamonds.com/product/0-73-ct-radiant/
Eco Diamond 432026899,RADIANT,0.9,SI2,D,EX,EX,EX,N,6.14 – 6.17 x 3.71 mm,"1,607.58",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-5/
Eco Diamond 444074126,RADIANT,0.9,SI2,D,EX,EX,EX,N,6.05 – 6.10 x 3.86 mm,"1,607.58",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-7/
