Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1638147,CUSHION,0.55,SI2,E,EX,EX,VG,N,5.05-4.35×2.94,"1,378.65"
1630155,CUSHION,0.5,VVS1,FANCY,EX,EX,VG,F,4.60-4.31×2.92,"1,379.74"
1612606,CUSHION,0.51,VS2,H,EX,EX,VG,N,4.71-4.35×2.94,"1,380.19"
1638140,CUSHION,0.5,VS2,H,EX,EX,VG,N,4.91-4.26×2.88,"1,380.61"
1536093,CUSHION,0.53,SI1,D,EX,VG,VG,N,4.70-4.46×3.01,"1,383.13"
1643527,CUSHION,0.52,VVS1,I,EX,EX,VG,N,4.76-4.42×2.99,"1,384.24"
1796907,CUSHION,0.51,VS2,I,EX,EX,VG,F,5.16-4.21×2.85,"1,385.26"
1636092,CUSHION,0.5,SI1,E,VG,EX,VG,N,4.91-4.17×2.90,"1,385.91"
1771074,CUSHION,0.5,VVS2,I,EX,EX,VG,N,4.48-4.38×3.04,"1,385.94"
1756392,CUSHION,0.51,SI1,I,EX,EX,EX,N,4.55-4.50×3.02,"1,387.05"
1648845,CUSHION,0.5,SI1,D,EX,EX,GD,N,4.89-4.24×2.84,"1,389.25"
1766801,CUSHION,0.5,VS1,I,EX,EX,VG,N,5.05-4.21×2.83,"1,390.19"
1631332,CUSHION,0.55,VVS1,I,EX,EX,VG,N,4.69-4.50×3.04,"1,391.02"
1639565,CUSHION,0.55,VS1,H,EX,EX,EX,ST,4.78-4.52×3.04,"1,392.90"
1608375,CUSHION,0.91,SI1,M,EX,EX,EX,F,6.09-5.11×3.47,"1,393.76"
1623506,CUSHION,0.52,VS1,H,EX,EX,VG,M,4.64-4.48×3.03,"1,319.56"
1593561,CUSHION,0.5,VVS1,I,EX,EX,VG,N,4.63-4.33×2.92,"1,320.14"
1612588,CUSHION,0.71,VS1,K,EX,EX,VG,N,5.73-4.71×3.20,"1,320.70"
200715-197,CUSHION,1.12,I3,FANCY,EX,VG,VG,F,6.01-5.64×3.83,"1,323.08"
1665793,CUSHION,0.51,VVS2,I,EX,EX,VG,N,4.53-4.43×3.00,"1,324.64"
200538-94,CUSHION,1,I1,W-X,EX,VG,GD,F,6.51-5.31×3.27,"1,325.01"
