Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1760508,EMERALD,0.3,VVS2,D,EX,EX,GD,N,4.68-3.16×2.15,973.78
1794389,EMERALD,0.3,VVS2,E,VG,VG,GD,N,4.62-3.19×2.03,974.29
1794388,EMERALD,0.3,VVS2,E,VG,VG,GD,N,4.75-3.06×2.09,974.29
1799836,EMERALD,0.3,VS1,D,VG,EX,VG,N,4.35-3.27×2.22,974.29
1800651,EMERALD,0.3,VS1,D,VG,VG,GD,N,4.40-3.28×2.25,974.29
1799838,EMERALD,0.3,VS1,D,EX,EX,GD,F,4.47-3.22×2.15,974.29
1795777,EMERALD,0.3,VS1,D,EX,EX,VG,M,4.44-3.26×2.21,974.29
1799845,EMERALD,0.3,VS1,D,EX,VG,GD,M,4.59-3.19×2.17,974.29
1773505,EMERALD,0.3,VS2,D,EX,EX,VG,N,4.61-3.25×2.13,974.35
1771232,EMERALD,0.3,VS2,D,EX,EX,VG,N,4.64-3.21×2.19,974.35
1766902,EMERALD,0.32,VS2,D,EX,EX,GD,N,4.65-3.50×2.24,974.56
1751799,EMERALD,0.31,VVS2,D,EX,VG,VG,N,4.93-3.17×2.08,974.57
1785113,EMERALD,0.32,VS2,F,VG,VG,VG,N,4.83-3.25×2.19,974.57
1799870,EMERALD,0.32,VS1,H,EX,GD,GD,N,4.84-3.23×2.17,974.59
1798585,EMERALD,0.31,VVS2,E,VG,EX,GD,N,4.55-3.38×2.20,975.06
1799889,EMERALD,0.3,VS2,E,GD,GD,GD,F,4.84-3.16×2.03,901.8
1751817,EMERALD,0.32,SI1,D,EX,EX,VG,N,4.61-3.31×2.22,902.12
1745110,EMERALD,0.32,VS1,F,EX,GD,GD,N,4.55-3.41×2.33,902.6
1746075,EMERALD,0.3,VS1,F,EX,VG,VG,N,4.52-3.31×2.18,902.81
1791752,EMERALD,0.3,VS2,D,VG,VG,GD,F,4.49-3.35×2.17,902.88
1791043,EMERALD,0.3,VS1,D,EX,EX,VG,VS,4.61-3.33×2.13,903.31
1799738,EMERALD,0.42,VVS1,K,EX,EX,GD,F,5.01-3.67×2.41,903.73
1799900,EMERALD,0.3,VS2,F,VG,GD,GD,N,4.41-3.25×2.24,904.35
1766908,EMERALD,0.3,VS2,F,VG,EX,GD,N,4.56-3.41×2.07,904.35
1798618,EMERALD,0.3,VS1,G,VG,VG,GD,F,4.53-3.32×2.20,904.35
