Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1787992,MARQUISE,0.59,SI1,D,VG,EX,VG,N,8.09-4.48×2.70,"1,967.26"
1733853,MARQUISE,0.53,VVS1,E,EX,EX,VG,M,9.12-4.15×2.44,"1,968.43"
1671998,MARQUISE,0.5,VS2,F,EX,EX,EX,N,8.01-4.13×2.60,"1,973.69"
1643611,MARQUISE,0.5,VVS1,D,EX,EX,VG,M,7.78-4.27×2.63,"1,974.76"
1763984,MARQUISE,0.52,VS1,D,EX,EX,VG,M,8.56-4.23×2.48,"1,983.20"
1671997,MARQUISE,0.5,VS2,D,EX,EX,VG,N,8.71-3.93×2.43,"1,984.06"
1777517,MARQUISE,0.5,VVS2,D,GD,EX,VG,F,7.41-4.12×2.71,"1,986.00"
1789130,MARQUISE,0.5,VVS1,G,VG,VG,GD,N,8.80-4.06×2.33,"1,986.70"
212115-178,MARQUISE,1,SI2,M,VG,EX,VG,F,9.19-5.21×3.26,"1,987.62"
1776350,MARQUISE,0.5,VS2,F,EX,EX,VG,N,8.38-4.04×2.49,"1,989.27"
1665949,MARQUISE,0.5,VS2,E,EX,EX,EX,N,8.43-4.10×2.47,"1,989.32"
1660315,MARQUISE,0.53,VS2,F,EX,VG,VG,N,8.54-4.28×2.49,"1,999.88"
1743983,MARQUISE,0.92,VS1,L,EX,EX,EX,F,9.80-5.13×3.00,"2,000.39"
1754876,MARQUISE,0.52,VVS1,D,EX,EX,VG,M,8.49-4.26×2.43,"2,004.48"
1774292,MARQUISE,0.53,VVS2,G,EX,VG,VG,N,8.83-4.11×2.50,"2,006.69"
1777519,MARQUISE,0.5,VVS2,E,EX,EX,VG,M,7.60-4.17×2.63,"2,006.89"
1777526,MARQUISE,0.5,VS1,D,EX,VG,GD,N,8.83-4.01×2.30,"2,007.94"
1616635,MARQUISE,0.52,VVS2,E,EX,EX,VG,F,7.82-4.34×2.70,"2,008.37"
1787991,MARQUISE,0.5,VS2,D,EX,EX,EX,F,8.82-4.03×2.33,"2,010.47"
1776342,MARQUISE,0.53,VS1,G,EX,EX,VG,N,8.05-4.35×2.59,"2,011.25"
1654248,MARQUISE,0.5,VVS1,G,EX,VG,VG,N,7.93-4.16×2.51,"2,016.12"
1771409,MARQUISE,0.51,VVS1,F,EX,EX,GD,M,8.33-4.35×2.52,"2,018.08"
1776351,MARQUISE,0.5,VS2,G,EX,VG,VG,N,7.86-4.19×2.56,"2,019.55"
1795923,MARQUISE,0.5,VVS1,D,EX,EX,VG,M,8.20-4.12×2.44,"2,020.53"
1668301,MARQUISE,0.59,SI1,D,EX,EX,VG,F,9.26-4.13×2.50,"2,021.84"
1755627,MARQUISE,0.57,VVS2,E,EX,EX,VG,ST,9.10-4.27×2.48,"2,024.03"
1646136,MARQUISE,0.59,VS2,D,EX,EX,VG,ST,9.08-4.39×2.52,"2,025.02"
1793245,MARQUISE,0.35,VS2,F,VG,EX,GD,N,7.65-3.49×2.15,"1,024.19"
1795947,MARQUISE,0.3,VS2,D,EX,EX,VG,N,7.38-3.30×2.15,"1,027.54"
1777551,MARQUISE,0.3,VS1,D,EX,EX,VG,N,7.50-3.42×1.92,"1,028.53"
1773545,MARQUISE,0.32,VS1,F,EX,EX,VG,N,6.81-3.73×2.21,"1,029.14"
1769709,MARQUISE,0.32,VS2,D,EX,VG,VG,N,7.68-3.54×2.03,"1,029.21"
1668303,MARQUISE,0.5,SI1,K,EX,EX,EX,N,8.81-4.06×2.36,"1,029.67"
1750328,MARQUISE,0.4,SI1,H,EX,EX,VG,F,7.88-3.87×2.23,"1,030.22"
1789144,MARQUISE,0.3,VS2,D,EX,VG,VG,N,6.66-3.56×2.11,"1,032.64"
1789957,MARQUISE,0.3,VS2,D,EX,EX,VG,N,7.44-3.41×2.14,"1,032.64"
1791165,MARQUISE,0.36,VS1,F,EX,VG,VG,F,6.88-3.79×2.27,"1,032.86"
1782813,MARQUISE,0.3,VS1,D,EX,EX,VG,F,7.08-3.52×2.07,"1,035.13"
1769699,MARQUISE,0.3,VVS1,D,EX,EX,VG,ST,6.97-3.42×2.09,"1,038.27"
1667285,MARQUISE,0.59,SI2,L,VG,VG,VG,N,8.50-4.35×2.62,"1,039.49"
1795945,MARQUISE,0.31,VS2,D,EX,VG,VG,N,7.60-3.44×1.96,"1,041.16"
1795943,MARQUISE,0.3,VS1,D,VG,VG,VG,N,6.55-3.61×2.12,"1,044.25"
1747974,MARQUISE,0.35,VVS1,H,EX,EX,VG,N,7.69-3.51×2.19,869.83
1771435,MARQUISE,0.3,SI1,D,EX,VG,GD,N,7.11-3.65×2.12,870.91
1789959,MARQUISE,0.3,VS2,H,VG,EX,VG,N,6.81-3.46×2.16,871.87
1772611,MARQUISE,0.31,VS1,H,EX,VG,GD,N,7.31-3.44×2.13,875.07
1775345,MARQUISE,0.31,SI1,E,EX,VG,GD,F,7.60-3.44×1.99,877.65
1777560,MARQUISE,0.31,SI2,D,EX,EX,VG,N,7.56-3.37×2.06,882.37
1800104,MARQUISE,0.3,SI2,D,EX,EX,VG,F,7.04-3.57×2.08,882.52
1779873,MARQUISE,0.3,SI1,D,GD,VG,GD,N,6.50-3.63×2.05,884.61
1789140,MARQUISE,0.3,VVS1,I,EX,VG,VG,N,6.81-3.56×2.08,886.62
1761722,MARQUISE,0.3,VS2,F,EX,EX,VG,N,6.44-3.57×2.24,890.14
1781422,MARQUISE,0.3,SI1,D,GD,EX,VG,N,6.57-3.43×2.16,890.14
1777555,MARQUISE,0.3,VS2,F,EX,EX,VG,F,7.43-3.49×2.04,891.17
1771439,MARQUISE,0.31,SI2,D,EX,EX,VG,N,7.62-3.48×1.98,891.8
1793238,MARQUISE,0.4,VVS2,K,EX,EX,VG,F,7.47-3.91×2.30,895.77
1778623,MARQUISE,0.3,SI1,D,VG,EX,VG,N,6.49-3.53×2.19,901.34
1775340,MARQUISE,0.35,VS1,F,VG,VG,GD,N,7.52-3.80×2.15,"1,008.24"
1773547,MARQUISE,0.32,VS2,D,EX,EX,GD,N,6.96-3.62×2.25,"1,010.30"
1639716,MARQUISE,0.5,VVS1,K,EX,EX,VG,N,8.45-4.11×2.44,"1,010.70"
1769706,MARQUISE,0.3,VS1,D,EX,EX,VG,N,7.00-3.49×2.18,"1,010.79"
1778614,MARQUISE,0.3,VS2,D,EX,EX,VG,N,6.68-3.70×2.22,"1,011.84"
1795950,MARQUISE,0.38,SI1,D,EX,VG,GD,F,8.26-3.77×2.18,"1,012.36"
1800095,MARQUISE,0.31,VS2,E,EX,EX,VG,N,7.58-3.38×2.00,"1,013.39"
1778605,MARQUISE,0.4,SI1,H,GD,VG,VG,N,7.94-3.62×2.23,"1,014.76"
1795940,MARQUISE,0.32,VVS2,G,EX,EX,VG,N,7.82-3.54×2.03,"1,015.71"
1800806,MARQUISE,0.32,VS2,G,EX,EX,EX,N,7.48-3.54×2.05,"1,016.72"
1768002,MARQUISE,0.34,SI1,D,EX,EX,VG,N,7.73-3.55×2.21,"1,017.77"
