Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price
1790107,OVAL,0.32,SI2,FANCY,EX,VG,GD,M,5.25-3.55×2.27,962.08
1777665,OVAL,0.3,VS2,F,VG,VG,VG,N,5.40-3.71×2.26,962.18
1740333,OVAL,0.32,VS2,D,EX,VG,GD,F,6.02-3.85×2.21,962.62
1781606,OVAL,0.31,VVS2,G,EX,VG,GD,N,5.90-3.70×2.29,963.03
1666055,OVAL,0.65,VS1,N,EX,EX,VG,M,7.31-4.65×2.88,963.92
1796057,OVAL,0.3,VS2,E,EX,EX,VG,M,5.36-3.77×2.37,964.69
1789992,OVAL,0.34,SI1,E,EX,VG,GD,N,6.20-3.89×2.27,965.46
1789195,OVAL,0.35,VS1,I,EX,EX,VG,N,5.80-3.98×2.34,966.24
1777666,OVAL,0.38,SI1,E,EX,EX,VG,N,5.93-3.97×2.46,967.36
1789988,OVAL,0.3,VS2,D,VG,EX,VG,F,5.10-3.78×2.35,967.71
1778713,OVAL,0.4,SI2,G,EX,VG,GD,N,6.22-4.22×2.44,968.78
1773564,OVAL,0.4,VS2,J,EX,EX,VG,N,6.14-4.14×2.52,969.43
1791217,OVAL,0.3,VS2,E,EX,VG,GD,N,5.80-3.73×2.21,969.79
1783961,OVAL,0.3,VS1,F,EX,EX,VG,F,5.31-3.84×2.37,969.79
1783955,OVAL,0.3,VVS1,H,VG,EX,VG,N,5.82-3.72×2.20,969.79
1748049,OVAL,0.3,VVS1,F,EX,VG,GD,N,5.77-3.76×2.22,915.98
1800874,OVAL,0.3,SI1,E,EX,EX,VG,N,5.88-3.69×2.16,919.06
1791846,OVAL,0.31,VVS2,H,EX,EX,GD,N,5.23-3.82×2.40,920.12
1796060,OVAL,0.31,SI1,E,EX,EX,VG,F,5.40-3.76×2.34,921.66
1755761,OVAL,0.3,VS2,G,EX,EX,VG,N,5.07-3.77×2.35,922.64
1790108,OVAL,0.36,I2,FANCY,EX,VG,FR,F,5.04-3.77×2.59,922.67
1790102,OVAL,0.3,VVS2,FANCY,EX,VG,FR,F,5.34-3.76×2.10,923.08
1791220,OVAL,0.3,SI1,E,EX,EX,VG,N,5.21-3.87×2.35,923.11
1771565,OVAL,0.36,SI2,D,EX,EX,VG,N,6.24-3.91×2.32,976.28
1631500,OVAL,0.51,VS1,L,EX,EX,EX,N,6.12-4.55×2.81,977.2
Eco Diamond 445027348,OVAL,0.62,SI1,D,EX,EX,EX,N,6.50 – 4.78 x 3.08 mm,977.54
1652998,OVAL,0.5,SI2,I,VG,VG,VG,ST,5.96-4.42×2.79,977.78
1623620,OVAL,0.59,VS2,L,EX,EX,VG,M,6.61-4.77×2.87,981.36
1793287,OVAL,0.3,VVS2,E,EX,GD,GD,N,5.61-3.84×1.96,981.38
1773565,OVAL,0.4,SI2,G,EX,EX,VG,N,5.78-4.12×2.60,981.55
1785462,OVAL,0.33,VS1,H,EX,EX,VG,F,5.61-4.02×2.35,981.64
1791851,OVAL,0.31,VS2,G,EX,VG,VG,F,5.81-3.70×2.23,982.43
1660413,OVAL,0.5,VVS2,K,EX,EX,VG,ST,6.24-4.62×2.73,983.02
1631448,OVAL,0.81,SI2,M,EX,EX,EX,ST,7.61-5.09×3.07,983.07
1798765,OVAL,0.3,VVS2,E,VG,EX,GD,N,5.86-3.68×2.12,984.43
1742069,OVAL,0.31,VS1,D,EX,EX,VG,F,5.35-3.98×2.43,984.49
1786651,OVAL,0.33,VS1,G,EX,VG,VG,M,5.95-3.89×2.28,984.98
