,Depth,Height,Width,Weight,Clarity,Cut,Polish,Symmetry,Fluorescence,Colour,Shape,Price
0,5.56,5.17,3.61,0.9,70,30,40,30,10,7,60,2344.02
1,6.62,4.39,2.71,0.51,80,40,40,20,10,5,70,1672.34
2,5.19,3.94,2.28,0.35,70,20,30,20,40,2,70,792.86
3,6.42,6.03,4.04,1.32,100,40,40,40,70,4,60,11502.51
4,6.76,4.47,2.79,0.5,70,40,40,30,10,1,50,2296.93
5,5.62,4.8,3.24,0.73,60,40,40,40,10,7,60,1525.93
6,3.67,3.69,2.23,0.18,70,40,40,40,10,1,90,786.37
7,5.29,4.71,3.29,0.7,50,30,40,30,20,14,60,2305.38
8,4.17,4.39,2.43,0.3,70,20,40,30,10,14,10,1042.26
9,5.06,5.07,3.17,0.5,70,40,40,40,10,5,90,2344.61
10,4.83,4.89,3.15,0.5,50,20,30,30,10,12,90,2028.12
11,3.85,4.63,2.77,0.3,70,30,20,20,20,14,10,975.81
12,5.16,4.8,3.33,0.71,40,30,40,30,10,7,60,1410.74
13,5.95,5.15,3.5,0.91,60,40,40,40,10,3,60,3365.27
14,5.15,3.82,2.39,0.31,40,40,40,30,10,1,70,855.09
15,4.32,4.34,2.67,0.3,80,40,40,40,10,13,90,867.38
16,3.95,3.98,2.41,0.23,70,40,40,40,10,1,90,941.25
17,8.17,5.58,3.5,1,70,30,40,20,10,3,50,6096.99
18,5.16,5.2,3.2,0.53,90,40,40,40,10,7,90,1970.03
19,4.72,3.21,2.17,0.31,60,40,40,30,40,1,30,877.13
20,3.79,3.81,2.33,0.2,100,40,40,40,10,1,90,922.4
21,5,4.32,2.9,0.52,80,40,40,30,10,7,60,959.96
22,5.05,5.08,3.17,0.5,50,40,40,40,10,5,90,1984.03
23,5.05,5.08,3.17,0.5,70,40,40,40,10,11,90,2048.36
24,3.93,3.96,2.41,0.23,70,40,40,40,10,12,90,935.79
25,4.15,4.11,2.9,0.4,50,40,30,20,10,14,80,1155.32
26,4.93,3.4,2.35,0.38,80,30,40,30,10,1,30,1156.81
27,4.5,4.53,2.81,0.35,80,40,40,40,10,4,90,1400.45
28,5.51,5.14,3.45,0.8,40,30,40,30,40,12,60,2116.52
29,4.75,3.2,2.05,0.3,90,40,30,30,40,4,30,1042.29
30,4.5,5.05,3.01,0.38,40,40,30,20,10,1,10,942.99
31,6.55,4.32,2.69,0.5,60,40,30,20,10,12,70,1748.16
32,4.17,4.2,2.69,0.3,70,20,30,30,10,11,90,910.99
33,4.39,4.38,3.13,0.51,70,40,30,30,20,7,80,1162.84
34,5.57,3.78,2.32,0.31,70,40,30,30,10,3,70,942.61
35,5.48,5.17,3.45,0.83,50,40,40,40,10,14,60,2785.64
36,3.99,4.72,2.71,0.3,40,40,30,30,10,3,10,766.92
37,5.77,5.8,3.63,0.75,40,40,40,40,10,6,90,1535.11
38,3.82,3.83,2.26,0.2,80,40,40,40,10,1,90,862.56
